capital,id_zona,altura_sobre_nivel_del_mar,temperatura_media_anual,precipitacion_anual,profundidad_efectiva_suelo,aptitud
Leticia,771,593,35,1200,22,no apto
Medellin,772,1314,42,1945,49,no apto
Arauca,773,635,42,2380,67,no apto
Barranquilla,774,354,23,1206,79,moderadamente apto
Cartagena,775,1342,31,2417,18,no apto
Tunja,776,1082,28,2403,45,marginalmente apto
Manizales,777,937,44,3199,94,no apto
Florencia,778,547,21,1985,39,marginalmente apto
Yopal,779,1033,21,3986,58,moderadamente apto
Popayan,780,1293,29,1801,103,moderadamente apto
Valledupar,781,581,32,2745,65,marginalmente apto
Quibdo,782,1178,44,2062,62,no apto
Monteria,783,1313,22,2015,69,moderadamente apto
Bogota,784,1130,14,3938,58,no apto
Inirida,785,1022,26,1370,81,moderadamente apto
San Jose del Guaviare,786,456,29,1631,87,moderadamente apto
Neiva,787,968,35,3776,97,no apto
Rioacha,788,865,24,3469,81,moderadamente apto
Santa Marta,789,1146,41,2281,75,no apto
Villavicencio,790,1297,20,4058,99,marginalmente apto
Pasto,791,809,15,1556,84,no apto
Cucuta,792,660,21,3792,17,no apto
Mocoa,793,754,19,1411,66,marginalmente apto
Armenia,794,688,20,1724,56,marginalmente apto
Pereira,795,1386,15,1850,108,no apto
San Andres,796,1134,44,1227,34,no apto
Bucaramanga,797,877,32,4093,83,marginalmente apto
Sincelejo,798,432,43,1598,72,no apto
Ibague,799,1311,42,2933,101,no apto
Cali,800,1247,42,3431,98,no apto
Mitu,801,1077,18,4030,108,marginalmente apto
Puerto Carreno,802,630,43,3186,36,no apto
Leticia,803,1049,35,2753,44,no apto
Medellin,804,1287,19,3608,84,marginalmente apto
Arauca,805,1021,32,2849,100,marginalmente apto
Barranquilla,806,509,42,1642,76,no apto
Cartagena,807,1291,41,2066,84,no apto
Tunja,808,430,20,3532,44,marginalmente apto
Manizales,809,942,33,2078,84,no apto
Florencia,810,653,40,1261,67,no apto
Yopal,811,891,15,1349,18,no apto
Popayan,812,1294,39,2308,60,no apto
Valledupar,813,1017,18,3222,53,marginalmente apto
Quibdo,814,699,19,1436,55,marginalmente apto
Monteria,815,1294,14,1631,93,no apto
Bogota,816,807,23,3499,32,marginalmente apto
Inirida,817,917,37,2638,60,no apto
San Jose del Guaviare,818,1140,37,2740,23,no apto
Neiva,819,520,33,2958,79,no apto
Rioacha,820,748,37,1806,105,no apto
Santa Marta,821,1292,41,2094,58,no apto
Villavicencio,822,1290,20,3094,45,marginalmente apto
Pasto,823,489,16,3839,40,no apto
Cucuta,824,639,44,1136,32,no apto
Mocoa,825,405,35,2049,33,no apto
Armenia,826,382,14,1414,91,no apto
Pereira,827,550,43,2770,28,no apto
San Andres,828,767,39,3166,68,no apto
Bucaramanga,829,920,22,2360,35,marginalmente apto
Sincelejo,830,656,33,2210,78,no apto
Ibague,831,862,20,1752,105,marginalmente apto
Cali,832,507,26,1789,67,moderadamente apto
Mitu,833,759,36,3704,22,no apto
Puerto Carreno,834,1127,36,3403,57,no apto
Leticia,835,1190,30,2209,15,no apto
Medellin,836,759,35,2249,17,no apto
Arauca,837,523,14,3702,97,no apto
Barranquilla,838,526,22,4168,70,moderadamente apto
Cartagena,839,390,31,4162,79,marginalmente apto
Tunja,840,402,22,1483,37,marginalmente apto
Manizales,841,1332,36,3245,70,no apto
Florencia,842,494,28,2319,65,moderadamente apto
Yopal,843,984,39,3125,109,no apto
Popayan,844,838,40,4058,86,no apto
Valledupar,845,764,15,2880,78,no apto
Quibdo,846,491,44,3136,57,no apto
Monteria,847,675,37,3550,54,no apto
Bogota,848,1008,42,2898,73,no apto
Inirida,849,1185,41,2977,100,no apto
San Jose del Guaviare,850,839,33,2659,71,no apto
Neiva,851,1395,39,3189,54,no apto
Rioacha,852,1092,43,1644,34,no apto
Santa Marta,853,1335,23,1874,51,moderadamente apto
Villavicencio,854,912,34,3966,68,no apto
Pasto,855,521,36,1262,93,no apto
Cucuta,856,648,16,1222,51,no apto
Mocoa,857,575,34,3571,93,no apto
Armenia,858,487,40,1826,28,no apto
Pereira,859,812,41,1381,105,no apto
San Andres,860,793,40,1671,69,no apto
Bucaramanga,861,1377,40,3914,27,no apto
Sincelejo,862,1178,34,1837,53,no apto
Ibague,863,929,19,3231,53,marginalmente apto
Cali,864,612,28,1806,108,sumamente apto
Mitu,865,885,37,2977,49,no apto
Puerto Carreno,866,723,30,1287,20,no apto
Leticia,867,862,31,4095,76,marginalmente apto
Medellin,868,586,17,3084,103,no apto
Arauca,869,835,17,3111,97,no apto
Barranquilla,870,738,22,2517,87,moderadamente apto
Cartagena,871,968,26,3586,77,moderadamente apto
Tunja,872,367,20,1227,107,marginalmente apto
Manizales,873,478,31,3454,103,marginalmente apto
Florencia,874,535,18,2770,107,marginalmente apto
Yopal,875,818,38,1958,62,no apto
Popayan,876,470,36,3254,77,no apto
Valledupar,877,1105,42,2829,85,no apto
Quibdo,878,1187,21,1316,20,no apto
Monteria,879,1198,43,2524,26,no apto
Bogota,880,1027,31,2415,37,marginalmente apto
Inirida,881,1115,17,3053,91,no apto
San Jose del Guaviare,882,361,28,2339,45,marginalmente apto
Neiva,883,1001,36,4077,85,no apto
Rioacha,884,949,27,2807,16,no apto
Santa Marta,885,979,28,3742,40,marginalmente apto
Villavicencio,886,990,26,1495,105,sumamente apto
Pasto,887,411,17,2843,87,no apto
Cucuta,888,1017,43,1313,63,no apto
Mocoa,889,1247,20,2730,39,marginalmente apto
Armenia,890,750,35,2265,101,no apto
Pereira,891,1086,28,2518,59,moderadamente apto
San Andres,892,503,29,3532,43,marginalmente apto
Bucaramanga,893,1301,26,3771,61,moderadamente apto
Sincelejo,894,1319,20,2163,80,marginalmente apto
Ibague,895,583,44,2291,17,no apto
Cali,896,935,40,1175,109,no apto
Mitu,897,1015,18,1934,55,marginalmente apto
Puerto Carreno,898,1356,34,2723,100,no apto
Leticia,899,732,26,2954,91,moderadamente apto
Medellin,900,421,17,3413,27,no apto
Arauca,901,1015,32,2741,41,marginalmente apto
Barranquilla,902,990,17,4157,23,no apto
Cartagena,903,634,42,1640,32,no apto
Tunja,904,482,24,2389,35,marginalmente apto
Manizales,905,682,42,2718,46,no apto
Florencia,906,474,31,3877,83,marginalmente apto
Yopal,907,593,17,3180,29,no apto
Popayan,908,1275,15,2382,81,no apto
Valledupar,909,911,42,3593,15,no apto
Quibdo,910,549,15,2875,78,no apto
Monteria,911,568,26,2935,31,marginalmente apto
Bogota,912,680,35,3902,25,no apto
Inirida,913,629,17,3875,40,no apto
San Jose del Guaviare,914,1189,26,2029,23,no apto
Neiva,915,389,27,3673,46,marginalmente apto
Rioacha,916,843,34,4117,85,no apto
Santa Marta,917,1302,38,2426,53,no apto
Villavicencio,918,1153,15,3439,17,no apto
Pasto,919,914,21,3349,19,no apto
Cucuta,920,853,29,1190,74,moderadamente apto
Mocoa,921,1198,42,1456,54,no apto
Armenia,922,981,19,2594,62,marginalmente apto
Pereira,923,373,34,2884,58,no apto
San Andres,924,751,16,2940,103,no apto
Bucaramanga,925,1191,30,3487,52,moderadamente apto
Sincelejo,926,956,40,1259,23,no apto
Ibague,927,395,32,3799,106,marginalmente apto
Cali,928,1231,14,3888,92,no apto
Mitu,929,1112,27,4011,29,marginalmente apto
Puerto Carreno,930,1157,26,1120,95,moderadamente apto
Leticia,931,1263,18,2624,41,marginalmente apto
Medellin,932,1101,24,1277,71,moderadamente apto
Arauca,933,1048,39,2196,108,no apto
Barranquilla,934,895,26,4137,43,marginalmente apto
Cartagena,935,1159,21,2673,66,moderadamente apto
Tunja,936,1207,33,2695,106,no apto
Manizales,937,433,37,2519,99,no apto
Florencia,938,763,29,1872,27,marginalmente apto
Yopal,939,1123,18,3599,100,marginalmente apto
Popayan,940,1147,17,1462,46,no apto
Valledupar,941,1058,15,1652,61,no apto
Quibdo,942,965,32,1563,67,marginalmente apto
Monteria,943,720,38,1959,65,no apto
Bogota,944,522,39,1457,65,no apto
Inirida,945,1151,38,2515,68,no apto
San Jose del Guaviare,946,420,23,1869,72,moderadamente apto
Neiva,947,817,35,3524,15,no apto
Rioacha,948,1178,42,4045,74,no apto
Santa Marta,949,464,20,1334,46,marginalmente apto
Villavicencio,950,392,40,4070,94,no apto
Pasto,951,600,31,3506,69,marginalmente apto
Cucuta,952,1371,14,2860,74,no apto
Mocoa,953,885,25,4131,72,moderadamente apto
Armenia,954,1187,37,3115,74,no apto
Pereira,955,1185,40,4157,28,no apto
San Andres,956,729,17,3080,71,no apto
Bucaramanga,957,1018,16,2303,26,no apto
Sincelejo,958,1367,17,1629,88,no apto
Ibague,959,1111,21,3568,98,moderadamente apto
Cali,960,365,26,2748,55,moderadamente apto
Mitu,961,893,36,2392,58,no apto
Puerto Carreno,962,1383,21,1246,38,marginalmente apto
Leticia,963,1312,43,2576,70,no apto
Medellin,964,381,37,2281,68,no apto
Arauca,965,739,16,2794,76,no apto
Barranquilla,966,1173,44,1419,25,no apto
Cartagena,967,477,35,3589,94,no apto
Tunja,968,892,34,3328,26,no apto
Manizales,969,453,42,3919,57,no apto
Florencia,970,1278,19,3100,47,marginalmente apto
Yopal,971,425,26,3926,25,marginalmente apto
Popayan,972,472,21,3785,20,no apto
Valledupar,973,362,43,4046,22,no apto
Quibdo,974,740,39,1149,46,no apto
Monteria,975,929,23,2848,24,no apto
Bogota,976,1205,41,3056,41,no apto
Inirida,977,1189,20,2537,25,marginalmente apto
San Jose del Guaviare,978,605,25,3184,41,marginalmente apto
Neiva,979,1319,38,3558,78,no apto
Rioacha,980,1311,30,2132,97,moderadamente apto
Santa Marta,981,1138,34,2228,95,no apto
Villavicencio,982,915,42,3111,54,no apto
Pasto,983,405,43,3722,24,no apto
Cucuta,984,414,38,3183,97,no apto
Mocoa,985,1338,14,2622,31,no apto
Armenia,986,966,33,3821,97,no apto
Pereira,987,1274,25,2520,85,moderadamente apto
San Andres,988,1039,33,2397,39,no apto
Bucaramanga,989,567,32,2464,94,marginalmente apto
Sincelejo,990,1022,34,1965,70,no apto
Ibague,991,383,44,2551,29,no apto
Cali,992,1220,21,2649,70,moderadamente apto
Mitu,993,624,43,2106,54,no apto
Puerto Carreno,994,647,26,3080,66,moderadamente apto
Leticia,995,475,21,4061,60,moderadamente apto
Medellin,996,684,22,2446,82,moderadamente apto
Arauca,997,1283,20,1348,69,marginalmente apto
Barranquilla,998,1188,32,2113,71,marginalmente apto
Cartagena,999,742,14,1724,108,no apto
Tunja,1000,398,16,1420,76,no apto
Manizales,1001,955,30,3051,109,moderadamente apto
Florencia,1002,546,40,1982,90,no apto
Yopal,1003,1301,20,2640,107,marginalmente apto
Popayan,1004,700,37,2814,88,no apto
Valledupar,1005,1091,22,1555,92,moderadamente apto
Quibdo,1006,399,25,3658,32,marginalmente apto
Monteria,1007,1241,21,2911,22,no apto
Bogota,1008,1119,32,3317,43,marginalmente apto
Inirida,1009,1059,28,3927,95,moderadamente apto
San Jose del Guaviare,1010,756,32,2815,37,marginalmente apto
Neiva,1011,1114,41,4194,52,no apto
Rioacha,1012,941,38,2023,94,no apto
Santa Marta,1013,395,22,3295,95,moderadamente apto
Villavicencio,1014,627,43,3822,79,no apto
Pasto,1015,769,27,3439,97,moderadamente apto
Cucuta,1016,463,24,3866,41,marginalmente apto
Mocoa,1017,1318,35,1986,77,no apto
Armenia,1018,1181,21,1299,79,moderadamente apto
Pereira,1019,1305,17,4173,69,no apto
San Andres,1020,757,31,1160,37,marginalmente apto
Bucaramanga,1021,845,23,3001,28,marginalmente apto
Sincelejo,1022,1236,40,3673,89,no apto
Ibague,1023,1173,20,3575,25,marginalmente apto
Cali,1024,1178,36,2232,31,no apto
Mitu,1025,1080,32,1187,65,marginalmente apto
Puerto Carreno,1026,879,17,1365,101,no apto
Leticia,1027,1315,18,3941,21,no apto
Medellin,1028,1146,29,2136,45,marginalmente apto
Arauca,1029,459,22,2020,94,moderadamente apto
Barranquilla,1030,1244,22,3100,46,marginalmente apto
Cartagena,1031,847,28,2810,62,moderadamente apto
Tunja,1032,446,25,2344,76,moderadamente apto
Manizales,1033,367,42,2573,72,no apto
Florencia,1034,780,44,2084,16,no apto
Yopal,1035,1356,36,2422,106,no apto
Popayan,1036,549,30,1127,74,moderadamente apto
Valledupar,1037,937,15,3123,68,no apto
Quibdo,1038,506,20,3131,45,marginalmente apto
Monteria,1039,536,21,2671,30,marginalmente apto
Bogota,1040,1362,15,1516,22,no apto
Inirida,1041,1112,16,4075,46,no apto
San Jose del Guaviare,1042,367,33,1384,60,no apto
Neiva,1043,1304,21,1375,94,moderadamente apto
Rioacha,1044,614,40,2434,93,no apto
Santa Marta,1045,515,23,4050,28,marginalmente apto
Villavicencio,1046,1307,39,3907,29,no apto
Pasto,1047,1134,20,3236,34,marginalmente apto
Cucuta,1048,849,21,3116,86,moderadamente apto
Mocoa,1049,1203,15,3682,93,no apto
Armenia,1050,1239,23,2513,52,moderadamente apto
Pereira,1051,838,19,4113,96,marginalmente apto
San Andres,1052,1215,26,1303,39,marginalmente apto
Bucaramanga,1053,793,21,2603,68,moderadamente apto
Sincelejo,1054,1074,37,4051,15,no apto
Ibague,1055,595,21,1398,54,moderadamente apto
Cali,1056,491,24,3285,26,marginalmente apto
Mitu,1057,920,35,3698,85,no apto
Puerto Carreno,1058,812,34,2118,49,no apto
Leticia,1059,1155,39,1740,55,no apto
Medellin,1060,696,40,2445,22,no apto
Arauca,1061,935,18,1846,39,marginalmente apto
Barranquilla,1062,821,29,3166,34,marginalmente apto
Cartagena,1063,403,16,2339,61,no apto
Tunja,1064,1098,21,1870,38,marginalmente apto
Manizales,1065,484,33,1261,77,no apto
Florencia,1066,842,18,2877,69,marginalmente apto
Yopal,1067,595,29,3925,26,marginalmente apto
Popayan,1068,1151,15,3085,57,no apto
Valledupar,1069,643,21,2814,25,marginalmente apto
Quibdo,1070,705,27,1827,59,moderadamente apto
Monteria,1071,1239,22,3373,37,marginalmente apto
Bogota,1072,429,15,2240,65,no apto
Inirida,1073,892,25,3645,96,moderadamente apto
San Jose del Guaviare,1074,1339,41,3047,86,no apto
Neiva,1075,928,15,3178,68,no apto
Rioacha,1076,1185,37,1713,87,no apto
Santa Marta,1077,1011,18,2883,26,marginalmente apto
Villavicencio,1078,822,19,2713,84,marginalmente apto
Pasto,1079,1028,26,1597,42,marginalmente apto
Cucuta,1080,864,36,1484,23,no apto
Mocoa,1081,1371,20,3028,36,marginalmente apto
Armenia,1082,1396,35,3797,17,no apto
Pereira,1083,360,28,1189,86,moderadamente apto
San Andres,1084,1176,36,3235,57,no apto
Bucaramanga,1085,1024,17,2236,103,no apto
Sincelejo,1086,1190,34,2566,104,no apto
Ibague,1087,608,30,1980,68,moderadamente apto
Cali,1088,1313,31,2570,80,marginalmente apto
Mitu,1089,1226,26,2283,26,marginalmente apto
Puerto Carreno,1090,1084,14,2769,73,no apto
Leticia,1091,1195,18,3538,77,marginalmente apto
Medellin,1092,1284,37,2868,73,no apto
Arauca,1093,497,32,1671,68,marginalmente apto
Barranquilla,1094,1111,18,3707,20,no apto
Cartagena,1095,1117,39,3231,32,no apto
Tunja,1096,373,25,3664,39,marginalmente apto
Manizales,1097,1236,37,1810,24,no apto
Florencia,1098,642,44,2090,26,no apto
Yopal,1099,900,31,3258,81,marginalmente apto
Popayan,1100,1135,23,1951,40,marginalmente apto
Valledupar,1101,710,15,2258,109,no apto
Quibdo,1102,673,34,1687,21,no apto
Monteria,1103,964,20,2684,66,marginalmente apto
Bogota,1104,813,25,3883,92,moderadamente apto
Inirida,1105,1231,28,4175,77,moderadamente apto
San Jose del Guaviare,1106,505,24,1588,85,moderadamente apto
Neiva,1107,686,19,3679,23,no apto
Rioacha,1108,480,43,1325,80,no apto
Santa Marta,1109,1347,15,4143,94,no apto
Villavicencio,1110,507,27,1260,96,moderadamente apto
Pasto,1111,487,23,2308,21,no apto
Cucuta,1112,588,40,1846,26,no apto
Mocoa,1113,477,19,1316,49,marginalmente apto
Armenia,1114,421,23,2165,76,moderadamente apto
Pereira,1115,1211,43,1909,36,no apto
San Andres,1116,924,43,2793,69,no apto
Bucaramanga,1117,1202,43,2287,52,no apto
Sincelejo,1118,748,41,1392,63,no apto
Ibague,1119,899,40,3117,103,no apto
Cali,1120,1196,18,1228,81,marginalmente apto
Mitu,1121,798,14,3896,54,no apto
Puerto Carreno,1122,1191,42,1149,81,no apto
Leticia,1123,1216,24,1423,68,moderadamente apto
Medellin,1124,582,37,1962,73,no apto
Arauca,1125,1118,40,3287,92,no apto
Barranquilla,1126,1086,32,2937,105,marginalmente apto
Cartagena,1127,1009,34,1762,23,no apto
Tunja,1128,1125,17,3729,17,no apto
Manizales,1129,796,19,2859,86,marginalmente apto
Florencia,1130,1292,34,3544,42,no apto
Yopal,1131,824,17,3096,105,no apto
Popayan,1132,1051,27,4139,36,marginalmente apto
Valledupar,1133,464,14,1829,76,no apto
Quibdo,1134,355,23,2849,38,marginalmente apto
Monteria,1135,1269,41,2003,62,no apto
Bogota,1136,1068,30,3387,62,moderadamente apto
Inirida,1137,360,22,1438,33,marginalmente apto
San Jose del Guaviare,1138,1158,40,2147,75,no apto
Neiva,1139,1105,15,1898,43,no apto
Rioacha,1140,687,42,2392,18,no apto
Santa Marta,1141,517,38,2045,64,no apto
Villavicencio,1142,1268,38,4152,72,no apto
Pasto,1143,993,18,2541,55,marginalmente apto
Cucuta,1144,390,38,1607,25,no apto
Mocoa,1145,797,29,3255,83,moderadamente apto
Armenia,1146,448,43,3347,77,no apto
Pereira,1147,1374,27,1492,77,moderadamente apto
San Andres,1148,492,17,2549,96,no apto
Bucaramanga,1149,730,41,2253,64,no apto
Sincelejo,1150,934,14,3877,106,no apto
Ibague,1151,938,38,2445,39,no apto
Cali,1152,828,28,2998,43,marginalmente apto
Mitu,1153,1388,35,4026,22,no apto
Puerto Carreno,1154,1244,41,2555,42,no apto
Leticia,1155,659,19,2756,108,marginalmente apto
Medellin,1156,1372,21,3640,94,moderadamente apto
Arauca,1157,1168,42,2447,57,no apto
Barranquilla,1158,1387,20,3224,46,marginalmente apto
Cartagena,1159,971,39,3189,97,no apto
Tunja,1160,720,16,2685,17,no apto
Manizales,1161,1192,14,2249,74,no apto
Florencia,1162,826,29,3944,92,moderadamente apto
Yopal,1163,602,32,3133,49,marginalmente apto
Popayan,1164,983,23,4094,49,marginalmente apto
Valledupar,1165,656,27,2734,40,marginalmente apto
Quibdo,1166,988,22,2066,94,moderadamente apto
Monteria,1167,638,36,3182,47,no apto
Bogota,1168,987,15,2991,67,no apto
Inirida,1169,1099,34,1410,82,no apto
San Jose del Guaviare,1170,669,34,3834,82,no apto
Neiva,1171,676,35,2764,27,no apto
Rioacha,1172,623,39,1828,89,no apto
Santa Marta,1173,1193,14,1469,83,no apto
Villavicencio,1174,743,40,1387,33,no apto
Pasto,1175,1018,25,2619,88,moderadamente apto
Cucuta,1176,1339,29,2300,71,moderadamente apto
Mocoa,1177,461,34,2892,32,no apto
Armenia,1178,422,17,1924,108,no apto
Pereira,1179,911,20,3057,109,marginalmente apto
San Andres,1180,1290,16,2114,69,no apto
Bucaramanga,1181,590,42,1865,56,no apto
Sincelejo,1182,1132,28,3845,29,marginalmente apto
Ibague,1183,707,40,1745,78,no apto
Cali,1184,586,19,2161,72,marginalmente apto
Mitu,1185,1035,23,2374,24,no apto
Puerto Carreno,1186,1210,18,3610,91,marginalmente apto
Leticia,1187,960,27,2536,97,moderadamente apto
Medellin,1188,1318,32,1154,49,marginalmente apto
Arauca,1189,1312,28,3347,37,marginalmente apto
Barranquilla,1190,1391,21,1552,105,moderadamente apto
Cartagena,1191,817,30,3761,42,marginalmente apto
Tunja,1192,1209,28,1967,93,moderadamente apto
Manizales,1193,783,40,1142,86,no apto
Florencia,1194,368,14,3929,64,no apto
Yopal,1195,1057,36,3927,95,no apto
Popayan,1196,1175,36,3623,53,no apto
Valledupar,1197,594,32,1636,62,marginalmente apto
Quibdo,1198,1020,22,3828,77,moderadamente apto
Monteria,1199,729,17,2494,59,no apto
Bogota,1200,1155,15,2194,22,no apto
Inirida,1201,852,42,2497,63,no apto
San Jose del Guaviare,1202,510,44,1321,92,no apto
Neiva,1203,405,19,1367,38,marginalmente apto
Rioacha,1204,675,42,3260,101,no apto
Santa Marta,1205,533,14,1989,51,no apto
Villavicencio,1206,856,42,2531,106,no apto
Pasto,1207,831,39,3842,95,no apto
Cucuta,1208,736,32,2062,30,marginalmente apto
Mocoa,1209,366,15,3199,101,no apto
Armenia,1210,691,36,2099,36,no apto
Pereira,1211,1125,36,4094,90,no apto
San Andres,1212,1379,15,4062,15,no apto
Bucaramanga,1213,658,27,2634,80,moderadamente apto
Sincelejo,1214,914,27,1690,68,moderadamente apto
Ibague,1215,448,28,4022,109,sumamente apto
Cali,1216,809,44,3949,76,no apto
Mitu,1217,940,27,2387,109,sumamente apto
Puerto Carreno,1218,363,15,2194,59,no apto
Leticia,1219,917,15,1482,77,no apto
Medellin,1220,372,39,1618,45,no apto
Arauca,1221,830,15,2107,107,no apto
Barranquilla,1222,623,34,3818,98,no apto
Cartagena,1223,369,29,1794,70,moderadamente apto
Tunja,1224,411,33,3901,94,no apto
Manizales,1225,961,31,3525,61,marginalmente apto
Florencia,1226,1294,29,2206,58,moderadamente apto
Yopal,1227,651,24,3176,58,moderadamente apto
Popayan,1228,1213,27,2696,85,moderadamente apto
Valledupar,1229,627,28,3122,38,marginalmente apto
Quibdo,1230,1206,34,1500,16,no apto
Monteria,1231,622,28,2478,32,marginalmente apto
Bogota,1232,1326,43,1670,48,no apto
Inirida,1233,1146,40,2015,29,no apto
San Jose del Guaviare,1234,720,15,3957,96,no apto
Neiva,1235,433,19,3384,88,marginalmente apto
Rioacha,1236,1101,25,1111,101,sumamente apto
Santa Marta,1237,627,27,1987,80,moderadamente apto
Villavicencio,1238,1170,32,3465,21,no apto
Pasto,1239,721,44,2483,87,no apto
Cucuta,1240,837,20,3793,72,marginalmente apto
Mocoa,1241,1358,34,3948,24,no apto
Armenia,1242,868,20,4154,42,marginalmente apto
Pereira,1243,1263,38,1737,74,no apto
San Andres,1244,640,17,2078,25,no apto
Bucaramanga,1245,381,25,1991,34,marginalmente apto
Sincelejo,1246,945,32,2867,103,marginalmente apto
Ibague,1247,1157,33,2527,19,no apto
Cali,1248,635,43,1901,92,no apto
Mitu,1249,489,38,3729,73,no apto
Puerto Carreno,1250,1016,14,2562,27,no apto
Leticia,1251,720,30,3740,75,moderadamente apto
Medellin,1252,848,35,3712,19,no apto
Arauca,1253,587,39,2208,40,no apto
Barranquilla,1254,481,27,3685,92,moderadamente apto
Cartagena,1255,604,40,2139,34,no apto
Tunja,1256,548,33,3602,81,no apto
Manizales,1257,709,27,1657,34,marginalmente apto
Florencia,1258,793,37,2229,77,no apto
Yopal,1259,1264,41,3595,32,no apto
Popayan,1260,1385,24,3506,79,moderadamente apto
Valledupar,1261,1184,26,3188,97,moderadamente apto
Quibdo,1262,1263,42,1718,47,no apto
Monteria,1263,712,30,1671,62,moderadamente apto
Bogota,1264,1300,25,3097,72,moderadamente apto
Inirida,1265,1374,38,1856,63,no apto
San Jose del Guaviare,1266,942,24,3621,20,no apto
Neiva,1267,914,37,3034,43,no apto
Rioacha,1268,1163,19,3414,99,marginalmente apto
Santa Marta,1269,397,33,1333,49,no apto
Villavicencio,1270,358,36,3042,18,no apto
Pasto,1271,740,17,1399,41,no apto
Cucuta,1272,657,39,2322,106,no apto
Mocoa,1273,1062,42,1348,29,no apto
Armenia,1274,1250,29,2625,76,moderadamente apto
Pereira,1275,455,23,1589,52,moderadamente apto
San Andres,1276,829,17,2793,74,no apto
Bucaramanga,1277,712,29,3457,60,moderadamente apto
Sincelejo,1278,1055,18,2360,50,marginalmente apto
Ibague,1279,455,16,3666,59,no apto
Cali,1280,818,24,1778,97,moderadamente apto
Mitu,1281,1179,14,1537,83,no apto
Puerto Carreno,1282,590,38,4049,17,no apto
Leticia,1283,509,42,2816,80,no apto
Medellin,1284,759,40,2410,103,no apto
Arauca,1285,531,22,2431,34,marginalmente apto
Barranquilla,1286,1159,26,4024,44,marginalmente apto
Cartagena,1287,800,20,2722,20,no apto
Tunja,1288,730,43,2540,16,no apto
Manizales,1289,421,39,3158,38,no apto
Florencia,1290,1112,43,2314,69,no apto
Yopal,1291,1198,34,2753,91,no apto
Popayan,1292,814,31,1965,64,marginalmente apto
Valledupar,1293,1185,16,3621,98,no apto
Quibdo,1294,592,29,1736,38,marginalmente apto
Monteria,1295,989,34,1498,58,no apto
Bogota,1296,823,38,3731,32,no apto
Inirida,1297,1172,32,1695,33,marginalmente apto
San Jose del Guaviare,1298,1366,38,3889,44,no apto
Neiva,1299,911,18,3794,84,marginalmente apto
Rioacha,1300,531,36,3730,32,no apto
Santa Marta,1301,981,21,3027,52,moderadamente apto
Villavicencio,1302,1054,21,3937,79,moderadamente apto
Pasto,1303,555,32,1877,71,marginalmente apto
Cucuta,1304,836,32,3257,94,marginalmente apto
Mocoa,1305,627,35,2324,63,no apto
Armenia,1306,517,21,3431,17,no apto
Pereira,1307,779,39,3981,91,no apto
San Andres,1308,792,16,1232,88,no apto
Bucaramanga,1309,824,22,2772,84,moderadamente apto
Sincelejo,1310,970,37,2190,99,no apto
Ibague,1311,773,21,1930,90,moderadamente apto
Cali,1312,1132,29,2929,39,marginalmente apto
Mitu,1313,1170,14,2384,49,no apto
Puerto Carreno,1314,677,41,4022,27,no apto
Leticia,1315,993,27,4009,22,no apto
Medellin,1316,1053,32,3972,55,marginalmente apto
Arauca,1317,957,22,1927,56,moderadamente apto
Barranquilla,1318,1052,40,3811,109,no apto
Cartagena,1319,571,32,3741,26,marginalmente apto
Tunja,1320,884,31,2263,94,marginalmente apto
Manizales,1321,719,19,2896,59,marginalmente apto
Florencia,1322,592,24,2658,23,no apto
Yopal,1323,1237,23,3680,41,marginalmente apto
Popayan,1324,760,17,3524,89,no apto
Valledupar,1325,871,35,4061,85,no apto
Quibdo,1326,946,34,1835,61,no apto
Monteria,1327,510,24,1836,92,moderadamente apto
Bogota,1328,478,38,1448,17,no apto
Inirida,1329,1258,35,2333,17,no apto
San Jose del Guaviare,1330,1218,38,1414,19,no apto
Neiva,1331,1034,17,3913,28,no apto
Rioacha,1332,657,35,4176,100,no apto
Santa Marta,1333,364,25,2856,34,marginalmente apto
Villavicencio,1334,398,38,1783,64,no apto
Pasto,1335,499,14,1964,85,no apto
Cucuta,1336,486,15,4038,51,no apto
Mocoa,1337,694,26,3466,93,moderadamente apto
Armenia,1338,835,28,1877,74,moderadamente apto
Pereira,1339,607,15,1918,31,no apto
San Andres,1340,560,31,1704,30,marginalmente apto
Bucaramanga,1341,1345,21,4197,75,moderadamente apto
Sincelejo,1342,897,16,3967,94,no apto
Ibague,1343,1396,21,1677,59,moderadamente apto
Cali,1344,1307,18,3470,57,marginalmente apto
Mitu,1345,1199,41,3386,96,no apto
Puerto Carreno,1346,528,38,2851,39,no apto
Leticia,1347,508,38,2183,59,no apto
Medellin,1348,359,28,2388,72,moderadamente apto
Arauca,1349,1168,23,2104,20,no apto
Barranquilla,1350,1072,25,3015,74,moderadamente apto
Cartagena,1351,749,16,4142,16,no apto
Tunja,1352,1107,16,2656,64,no apto
Manizales,1353,355,33,1805,99,no apto
Florencia,1354,988,21,3114,36,marginalmente apto
Yopal,1355,777,41,3407,95,no apto
Popayan,1356,1217,23,1806,32,marginalmente apto
Valledupar,1357,416,20,2396,62,marginalmente apto
Quibdo,1358,661,17,2514,61,no apto
Monteria,1359,1138,17,2510,34,no apto
Bogota,1360,1343,35,2610,69,no apto
Inirida,1361,1369,31,3173,80,marginalmente apto
San Jose del Guaviare,1362,1312,24,3482,26,marginalmente apto
Neiva,1363,429,22,2576,104,moderadamente apto
